,precision,recall,f1-score,support
1,0.6,0.6521739130434783,0.625,46.0
2,0.8793103448275862,0.796875,0.8360655737704918,64.0
3,0.8666666666666667,0.8666666666666667,0.8666666666666667,45.0
4,0.7222222222222222,0.6610169491525424,0.6902654867256637,59.0
5,0.6739130434782609,0.8157894736842105,0.7380952380952381,38.0
6,0.8979591836734694,0.88,0.8888888888888888,50.0
accuracy,0.7748344370860927,0.7748344370860927,0.7748344370860927,0.7748344370860927
macro avg,0.7733452434780342,0.7787536670911496,0.7741636423578248,302.0
weighted avg,0.7814358543573643,0.7748344370860927,0.7764103441396991,302.0
