feature,importance
NDVI_mean,0.061821187027422085
NDVI_M08,0.04160525214909588
swir1_M07,0.03896273741316743
elevation,0.03369293897822299
swir1_M08,0.030753661095196526
EVI_M05,0.02934157837595409
GCVI_M05,0.02917274013507205
NDVI_M05,0.028860906674950025
swir2_M08,0.028372455148245653
swir2_M10,0.028116256762691787
slope,0.02580915699407862
swir2_M07,0.025418184378524812
swir1_M09,0.02530126331284683
swir1_M06,0.025049737421186696
NDVI_M10,0.023497428469217065
LSWI_a3,0.023266593081963508
green_M07,0.022973204374605885
EVI_M04,0.02295223705725859
swir1_M05,0.022055396525657543
VH_db_std,0.022028574180947887
green_M09,0.021926581411290235
NDVI_M04,0.02097391037888661
LSWI_autumn_decline,0.020732087140870582
swir2_M05,0.01997809229211438
blue_M08,0.01997541976970458
GCVI_M10,0.019903723139773673
VV_minus_VH_db_std,0.01888047426863418
green_M05,0.018778616859034085
LSWI_std,0.018283578582298652
swir2_M04,0.01755811170834259
red_M06,0.01754461613627125
swir2_M06,0.01618925657606318
BSI_M08,0.015422234968004832
dist_to_valley_proxy_m,0.015195047145304962
swir2_M09,0.015089070637575403
NDMI_min,0.014460223491017221
BSI_M10,0.014108773293470222
NDBI_M08,0.014038494416336714
NDMI_mean,0.014004731927383916
NDVI_a1,0.013784383853115973
NDVI_a2,0.01372378692304443
BSI_M09,0.013327903032598532
LSWI_mean,0.01328037291082705
NDBI_M10,0.013249283921341209
LSWI_M05,0.01053973566038967
