area_m2,class_id,class_name,area_ha
4642869495.483768,1,Wild Apple Forest,464286.94954837684
5754299156.234848,2,Other Forest,575429.9156234848
7883956952.232345,3,Cropland,788395.6952232345
24976940234.480476,4,Grassland/Shrub,2497694.0234480477
7724203176.952821,5,Urban/Bare,772420.317695282
1888638607.1729991,6,Water/Snow/Ice,188863.86071729992
