,precision,recall,f1-score,support
1,0.62,0.6739130434782609,0.6458333333333334,46.0
2,0.9107142857142857,0.796875,0.85,64.0
3,0.8695652173913043,0.8888888888888888,0.8791208791208791,45.0
4,0.7241379310344828,0.711864406779661,0.717948717948718,59.0
5,0.6888888888888889,0.8157894736842105,0.7469879518072289,38.0
6,0.8936170212765957,0.84,0.865979381443299,50.0
accuracy,0.7847682119205298,0.7847682119205298,0.7847682119205298,0.7847682119205298
macro avg,0.7844872240509262,0.7878884688051703,0.7843117106089097,302.0
weighted avg,0.7931089928508775,0.7847682119205298,0.787126683753599,302.0
