feature,importance
NDVI_mean,0.03596297187046013
swir1_M07,0.025812641611365605
NDVI_M05,0.022618085594949038
elevation,0.022105342866756892
NDVI_M08,0.021303914193965694
EVI_M05,0.020740662797276762
swir1_M08,0.020423966712973765
GCVI_M05,0.0179052510487966
swir2_M08,0.017057878743330406
swir1_M06,0.017056766729396287
swir2_M10,0.016984339091712066
swir1_M09,0.016763085351671557
slope,0.016559471829146927
NDVI_M10,0.015822871318619453
NDVI_M04,0.01535604700203807
swir2_M07,0.015015523297664458
green_M07,0.013859576912460696
blue_M07,0.01351747884458838
LSWI_a3,0.01316614285333641
GCVI_M10,0.012974022880679214
green_M05,0.012731660078752434
VH_db_std,0.012682456251249936
swir1_M10,0.012682107195879422
red_M06,0.012099869004553112
blue_M08,0.012049188356059141
red_M07,0.011903421812629681
swir2_M05,0.011158254749806081
green_M08,0.011058423431020545
EVI_M04,0.010976390032142888
LSWI_autumn_decline,0.010523264412970294
red_M05,0.010341961048427838
LSWI_mean,0.00996262694399653
NDMI_min,0.009876327472254138
swir2_M09,0.009588709403157977
swir1_M05,0.009568795440564458
swir2_M04,0.009466902396408227
swir2_M06,0.009464361003258464
green_M09,0.009315679747033066
NDMI_autumn_decline,0.009249922163375869
blue_M09,0.009194477836030314
VH_db_amp,0.008837783161293834
NDVI_a2,0.008483213771958901
LSWI_min,0.008443234593767203
red_M08,0.008124630460308927
NDBI_M08,0.008110362114892349
BSI_M08,0.00809323454053239
red_M09,0.008083177323926449
LSWI_std,0.007962242266834785
NDVI_a1,0.0075973666866869455
dist_to_valley_proxy_m,0.007403710121905232
NDMI_mean,0.007374844819565204
NDVI_a3,0.007236682838009978
LSWI_M05,0.007042913346280932
BSI_M10,0.006950844038729407
VV_minus_VH_db_std,0.006762632275048003
NDBI_M10,0.006648318578810526
swir1_M04,0.006489058264984542
NDMI_M08,0.0062814714216461
blue_M05,0.006241815347573356
BSI_M09,0.0062200495145536255
green_M04,0.0061753229255249046
NDMI_M10,0.006167953384933132
LSWI_M08,0.006144197438940759
red_M04,0.006037752930800668
VV_VH_ratio_spring_rise,0.005967825639955685
EVI_min,0.005963405406535586
EVI_a2,0.005937522550394347
VH_db_min,0.005922025009004817
LSWI_M04,0.005881683144142671
blue_M04,0.005875723551404997
BSI_M05,0.005778797927688353
LSWI_M10,0.0057332146012120735
NDBI_M07,0.005645635502170948
EVI_a1,0.005623821494683824
nir_M09,0.0055571784777874045
VV_db_a3,0.005501618385034878
NDBI_M04,0.00532706558815931
NDBI_M09,0.005319298515509189
VH_db_M05,0.00521851945518741
VV_minus_VH_db_amp,0.005075592110747777
EVI_a3,0.005024868405344488
VH_db_M04,0.00480802330245283
BSI_M04,0.004767323102430765
VV_minus_VH_db_M04,0.0046816531593212194
VH_db_mean,0.004618850896210304
EVI_a0,0.004592252295552422
VV_db_a2,0.004570390634219886
VV_minus_VH_db_spring_rise,0.004395419420560965
VV_minus_VH_db_a0,0.004358666713200133
VH_db_M03,0.004258135041108585
VH_db_a0,0.00425027444109388
NDMI_M09,0.004209264202177191
green_M10,0.004185062121454893
EVI_M03,0.004163110212744984
GCVI_M03,0.004130049903426247
VV_VH_ratio_std,0.004104303462740068
VV_VH_ratio_amp,0.0040469044288607816
blue_M10,0.004042715018598193
nir_M04,0.004016132047545841
NDMI_M04,0.004009003483153894
red_M10,0.004007772477785222
LSWI_M09,0.003944019575253637
NDVI_tex_asm,0.003929774162249949
nir_M10,0.003789779577658871
VV_minus_VH_db_M03,0.0035305484773438976
VV_VH_ratio_M04,0.0035066517408368835
VV_minus_VH_db_mean,0.003503326726175271
VH_db_a3,0.003502963549588874
VV_VH_ratio_M05,0.0033452001753470043
VV_VH_ratio_M09,0.003224003185842463
VV_VH_ratio_a0,0.00312628782114456
VV_VH_ratio_a1,0.0030954221287296975
VV_VH_ratio_M03,0.0030823456533257926
VV_minus_VH_db_max,0.002900334966829554
VV_VH_ratio_mean,0.0028023806686209253
VV_VH_ratio_autumn_decline,0.002793551307217203
VV_VH_ratio_max,0.0027430923642459905
VV_VH_ratio_min,0.0027314554481148307
VH_db_a2,0.002661977527465331
VV_VH_ratio_M10,0.0024041303161402103
