,Wild Apple Forest,Other Forest,Cropland,Grassland/Shrub,Urban/Bare,Water/Snow/Ice
Wild Apple Forest,30,5,2,7,2,0
Other Forest,8,52,1,3,0,0
Cropland,4,0,39,1,1,0
Grassland/Shrub,10,1,5,38,5,0
Urban/Bare,0,0,0,2,32,4
Water/Snow/Ice,0,0,0,0,7,43
