,precision,recall,f1-score,support
1,0.5769230769230769,0.6521739130434783,0.6122448979591837,46.0
2,0.896551724137931,0.8125,0.8524590163934426,64.0
3,0.8297872340425532,0.8666666666666667,0.8478260869565217,45.0
4,0.7450980392156863,0.6440677966101694,0.6909090909090909,59.0
5,0.6808510638297872,0.8421052631578947,0.7529411764705882,38.0
6,0.9148936170212766,0.86,0.8865979381443299,50.0
accuracy,0.7748344370860927,0.7748344370860927,0.7748344370860927,0.7748344370860927
macro avg,0.7740174591950519,0.7795856065797016,0.7738297011388595,302.0
weighted avg,0.7842251755149844,0.7748344370860927,0.7767487226658326,302.0
