,Wild Apple Forest,Other Forest,Cropland,Grassland/Shrub,Urban/Bare,Water/Snow/Ice
Wild Apple Forest,31,5,2,6,2,0
Other Forest,6,51,1,6,0,0
Cropland,2,0,40,2,1,0
Grassland/Shrub,11,0,3,42,3,0
Urban/Bare,0,0,0,2,31,5
Water/Snow/Ice,0,0,0,0,8,42
