feature,jm_1_2,jm_1_3,jm_1_4,jm_mean,jm_min
dist_to_valley_proxy_m,1.959925933082145,1.9187136844525228,1.9570188473381847,1.9452194882909506,1.9187136844525228
elevation,0.6553090884319901,0.2749712910848334,0.5854619916804145,0.505247457065746,0.2749712910848334
slope,0.13836027124413808,1.2372690701678035,0.008081178899874919,0.46123684010393884,0.008081178899874919
blue_M04,0.18502338423922704,0.2713413725359233,0.780665013583894,0.4123432567863481,0.18502338423922704
green_M05,0.16150065792950707,0.41990237213675385,0.6301318757015879,0.4038449685892829,0.16150065792950707
VV_VH_ratio_M10,0.7948195121691528,0.3389667368345659,0.00966886273844958,0.3811517039140561,0.00966886273844958
blue_M05,0.0952113847425442,0.3987887055108976,0.6328750929712821,0.37562506107490795,0.0952113847425442
green_M04,0.15096530522829577,0.2056346197346237,0.7583117364491467,0.37163722047068876,0.15096530522829577
swir2_M04,0.6274954080486024,0.42297886676045526,0.05970994782975625,0.3700614075462713,0.05970994782975625
VV_VH_ratio_a0,0.8472416363326216,0.16469397144024578,0.04600611848974445,0.3526472420875373,0.04600611848974445
VV_VH_ratio_M03,0.8324684053985851,0.18267190689316348,0.038852001919742474,0.35133077140383034,0.038852001919742474
NDBI_M04,0.5392713583354758,0.12615203504273342,0.38339882111914214,0.34960740483245045,0.12615203504273342
blue_M10,0.06228943540197518,0.26370299519069595,0.7169243706291399,0.3476389337406037,0.06228943540197518
NDMI_M04,0.5112584545155905,0.13336567607160932,0.36744613449008523,0.3373567550257617,0.13336567607160932
red_M04,0.09535770724179726,0.1894837899186106,0.704286855455643,0.3297094508720169,0.09535770724179726
LSWI_M04,0.5059458563716561,0.21411550582244132,0.2618268668352468,0.32729607634311475,0.21411550582244132
swir1_M04,0.6390414839564791,0.21712321435576687,0.11182947458530479,0.3226647242991836,0.11182947458530479
red_M05,0.04355527401735215,0.4918641075019028,0.43199623344024163,0.32247187165316554,0.04355527401735215
VV_VH_ratio_spring_rise,0.7628191144125389,0.16426153895719375,0.03631821165462834,0.32113295500812034,0.03631821165462834
NDBI_M10,0.567986141476474,0.15315760428407943,0.2418824500915031,0.3210087319506855,0.15315760428407943
BSI_M04,0.6171881233113297,0.0990654978639185,0.2387974065658196,0.31835034258035594,0.0990654978639185
VV_VH_ratio_autumn_decline,0.715739213291342,0.22846381055360054,0.0032837506876284284,0.31582892484419034,0.0032837506876284284
VV_VH_ratio_std,0.8445671370770351,0.08541793380069618,0.01299203717248587,0.3143257026834057,0.01299203717248587
swir2_M05,0.4093684717477606,0.44247655610497527,0.0769652404309078,0.30960342276121455,0.0769652404309078
NDMI_M10,0.5297229925711533,0.1511839370167598,0.22474178244794363,0.3018829040119522,0.1511839370167598
swir1_M08,0.6482878637980001,0.12727475233147634,0.11108486960807817,0.2955491619125182,0.11108486960807817
VV_VH_ratio_mean,0.7347436238140637,0.12245676027537344,0.027054044161643587,0.29475147608369356,0.027054044161643587
green_M10,0.04572332575443405,0.12298707891118865,0.7140008907860476,0.29423709848389007,0.04572332575443405
BSI_M10,0.5915826121457262,0.21873078839802806,0.052396916840331764,0.28757010579469533,0.052396916840331764
swir2_M10,0.6667839051807447,0.14708519781482843,0.03423080432946035,0.2826999691083445,0.03423080432946035
VV_VH_ratio_amp,0.7539712590160119,0.07881368771179487,0.013587889479611315,0.28212427873580603,0.013587889479611315
NDVI_tex_asm,0.4772834174600886,0.35432545565383644,0.007056566997795777,0.27955514670390696,0.007056566997795777
swir1_M07,0.5401531212919317,0.19137508818147375,0.10419994563891355,0.2785760517041063,0.10419994563891355
swir2_M08,0.6452010812719771,0.09540852996005,0.0936235852925611,0.2780777321748627,0.0936235852925611
VV_VH_ratio_max,0.7486914119879837,0.06510248672863539,0.016488181852080563,0.2767606935228999,0.016488181852080563
NDVI_a3,0.16475747744188474,0.5499497726677984,0.10015148764735682,0.27161957925234664,0.10015148764735682
NDVI_a2,0.17985487457954008,0.5392411841239562,0.09460108672591461,0.27123238180980364,0.09460108672591461
swir1_M10,0.671715808070336,0.1131474065816398,0.02415063020831254,0.2696712816200961,0.02415063020831254
EVI_a2,0.23374253482576113,0.49384293436086524,0.08074382409117553,0.2694430977592673,0.08074382409117553
EVI_a3,0.18220772170975086,0.5250236094028795,0.09911745650024772,0.2687829292042927,0.09911745650024772
swir1_M05,0.49281340439112764,0.20332914858849693,0.10996801936489975,0.26870352411484144,0.10996801936489975
swir1_M09,0.6502591444083821,0.028548369903286908,0.1112444981055869,0.263350670805752,0.028548369903286908
NDMI_autumn_decline,0.3082369533002285,0.28969693801928176,0.1919246399310044,0.2632861770835049,0.1919246399310044
red_M10,0.03443739540918078,0.09035080913023763,0.648673402437647,0.2578205356590218,0.03443739540918078
swir2_M09,0.6605293861731294,0.02447234777518359,0.08721489947153471,0.25740554447328257,0.02447234777518359
LSWI_min,0.5328339034319995,0.23005915198921167,0.0009142493753526715,0.254602434932188,0.0009142493753526715
VH_db_std,0.16176469055334297,0.5712674054548501,0.024397616549084677,0.2524765708524259,0.024397616549084677
VH_db_M04,0.036118035350049205,0.5719619470390596,0.1347157952976552,0.24759859256225467,0.036118035350049205
VV_VH_ratio_M04,0.625548042662138,0.08965146183732631,0.02429939910251,0.24649963453399146,0.02429939910251
VH_db_amp,0.19041512730304788,0.5148766469620958,0.03235539463557391,0.24588238963357253,0.03235539463557391
nir_M04,0.09806804325527008,0.02533217366401952,0.6074164770277459,0.24360556464901184,0.02533217366401952
red_M08,0.6191183017979451,0.010934123977716093,0.0879031750904189,0.2393185336220267,0.010934123977716093
VV_minus_VH_db_a0,0.2970699100035312,0.36206738081089784,0.05701147494106529,0.23871625525183146,0.05701147494106529
NDVI_M05,0.0603591111375994,0.4944686426650602,0.16039721342562996,0.23840832240942986,0.0603591111375994
LSWI_M10,0.4948069829125028,0.13813532467971612,0.08038361280799222,0.2377753068000704,0.08038361280799222
EVI_M05,0.1430830387837192,0.42822776738135415,0.13476418980678395,0.2353583319906191,0.13476418980678395
red_M07,0.6072220024547559,0.026009117140084248,0.06743954854593848,0.23355688938025954,0.026009117140084248
EVI_a1,0.2579380088138956,0.3863499907256407,0.05502977836953682,0.23310592596969104,0.05502977836953682
GCVI_M03,0.5208449703082878,0.1124848233897604,0.06391646356970027,0.23241541908924948,0.06391646356970027
swir2_M07,0.5254366270035187,0.0863980411987797,0.08469522609894464,0.23217663143374767,0.08469522609894464
NDVI_a1,0.14571924893404753,0.4556162941725912,0.09346049795527445,0.23159868035397105,0.09346049795527445
VV_minus_VH_db_std,0.25860819590701234,0.4213938821511378,0.01307176660413023,0.2310246148874268,0.01307176660413023
VH_db_min,0.09207609650648796,0.4728889242782206,0.1114600265786907,0.22547501578779974,0.09207609650648796
