area_m2,class_id,class_name,area_ha
4684226071.951549,1,Wild Apple Forest,468422.6071951549
5769836816.800473,2,Other Forest,576983.6816800473
7842800659.648083,3,Cropland,784280.0659648082
24860734693.920296,4,Grassland/Shrub,2486073.4693920296
7748101236.496132,5,Urban/Bare,774810.1236496132
1905598712.9636416,6,Water/Snow/Ice,190559.87129636417
