,precision,recall,f1-score,support
1,0.8475836431226765,0.912,0.8786127167630058,250.0
2,0.7021276595744681,0.8048780487804879,0.75,41.0
3,0.8703703703703703,0.7966101694915254,0.831858407079646,59.0
4,1.0,0.5333333333333333,0.6956521739130435,45.0
5,0.8048780487804879,0.8461538461538461,0.825,39.0
6,0.925,0.9024390243902439,0.9135802469135802,41.0
accuracy,0.8463157894736842,0.8463157894736842,0.8463157894736842,0.8463157894736842
macro avg,0.8583266203080004,0.7992357370249062,0.8157839241115458,475.0
weighted avg,0.8554741906895015,0.8463157894736842,0.8429872908589354,475.0
