,Wild Apple Forest,Other Forest,Cropland,Grassland/Shrub,Urban/Bare,Water/Snow/Ice
Wild Apple Forest,222,14,3,0,11,0
Other Forest,10,31,0,0,0,0
Cropland,13,0,46,0,0,0
Grassland/Shrub,21,0,1,22,1,0
Urban/Bare,5,0,0,0,30,4
Water/Snow/Ice,0,0,0,0,4,37
