area_m2,class_id,class_name,area_ha
16941317439.42467,1,Wild Apple Forest,1694131.743942467
4751303864.970644,2,Other Forest,475130.3864970644
6230707358.838876,3,Cropland,623070.7358838876
16992132026.686,4,Grassland/Shrub,1699213.2026686
6038757531.742392,5,Urban/Bare,603875.7531742392
1855008858.254197,6,Water/Snow/Ice,185500.88582541968
