,Wild Apple Forest,Other Forest,Cropland,Grassland/Shrub,Urban/Bare,Water/Snow/Ice
Wild Apple Forest,228,14,5,0,3,0
Other Forest,8,33,0,0,0,0
Cropland,12,0,47,0,0,0
Grassland/Shrub,18,0,2,24,1,0
Urban/Bare,3,0,0,0,33,3
Water/Snow/Ice,0,0,0,0,4,37
