feature,importance
NDVI_max,0.04758915272459183
elevation,0.046387448584485055
NDVI_mean,0.046307283840668526
VH_db_std,0.032183503067285256
swir1_M07,0.029682427847400165
NDVI_M08,0.02961748272574854
slope,0.0287802729691638
EVI_M05,0.02739009738311225
GCVI_M05,0.026654723536411285
swir2_M10,0.02625656649905929
NDVI_M04,0.02617193164243565
swir1_M09,0.02598654445896135
swir1_M08,0.02585232503138692
swir1_M06,0.0244161611897723
NDVI_M05,0.024254607110453977
swir2_M04,0.024144212683341354
LSWI_min,0.021754385857393612
LSWI_a3,0.021413096125062803
EVI_M04,0.020970069379059278
dist_to_valley_proxy_m,0.020737893916946967
swir1_M10,0.020403107683494192
NDMI_autumn_decline,0.02007302904388591
swir2_M08,0.019758933536043008
swir2_M07,0.01920045636917641
blue_M07,0.019053729830927377
NDVI_M10,0.01880992723158361
LSWI_M04,0.018181980977814823
swir2_M09,0.01717061192204311
VV_VH_ratio_r2,0.01708330826948692
VH_db_M04,0.01612358304803525
LSWI_std,0.015876841546726687
swir2_M06,0.015237459658108226
EVI_M03,0.013571619341167894
NDMI_mean,0.013499865173315572
NDMI_r2,0.013431185450747703
VH_db_mean,0.013363433269201105
red_M06,0.01323096019328408
EVI_min,0.013116919512749079
swir2_M05,0.012893205625383493
swir1_M05,0.012580384661773504
blue_M08,0.012572066562369467
NDVI_r2,0.012486102175259256
LSWI_mean,0.012148239892626788
EVI_a2,0.011918077522885205
EVI_a0,0.011579228457237785
blue_M04,0.010725513652891783
green_M05,0.010299979527417758
nir_M05,0.009723560976368733
NDVI_a1,0.009336502315255095
