area_m2,class_id,class_name,area_ha
17111218878.489273,1,Wild Apple Forest,1711121.8878489274
4735021758.815529,2,Other Forest,473502.17588155286
6237652294.505467,3,Cropland,623765.2294505468
16974084300.994162,4,Grassland/Shrub,1697408.430099416
5972753941.151589,5,Urban/Bare,597275.3941151589
1840020778.1247613,6,Water/Snow/Ice,184002.07781247614
