sample_id,group_id,class,EVI_a0,LSWI_a0,NDMI_a0,NDVI_a0,VH_db_a0,VV_VH_ratio_a0,VV_db_a0,VV_minus_VH_db_a0,EVI_a1,LSWI_a1,NDMI_a1,NDVI_a1,VH_db_a1,VV_VH_ratio_a1,VV_db_a1,VV_minus_VH_db_a1,EVI_a2,LSWI_a2,NDMI_a2,NDVI_a2,VH_db_a2,VV_VH_ratio_a2,VV_db_a2,VV_minus_VH_db_a2,EVI_a3,LSWI_a3,NDMI_a3,NDVI_a3,VH_db_a3,VV_VH_ratio_a3,VV_db_a3,VV_minus_VH_db_a3,EVI_r2,LSWI_r2,NDMI_r2,NDVI_r2,VH_db_r2,VV_VH_ratio_r2,VV_db_r2,VV_minus_VH_db_r2
wildapple_00000,wildapple_00000,1,0.07468912279087911,-0.0329744389887454,-0.08323021279647984,0.14892129163549328,-22.038029096253666,6.361903225940813,-12.326207877964244,8.031006206255913,-0.09038516383361173,-0.07175891965112689,-0.05830230627507031,-0.15190322460636224,0.5807442280088541,0.29659832376173895,-0.0605456925335813,0.18874708713435673,0.11430174606956336,0.11752286602787979,0.08911395382546321,0.14960261812355635,0.4112170944916985,-0.40225927862889155,0.21879198899711946,-0.3204544489811923,-0.014339326952912979,-0.014732200482245592,-0.011211761637780536,-0.018148502889982973,-0.06171557835519854,0.04827028879280175,-0.027265430387913746,0.039252216362717696,0.9403142456194588,0.9588964606038991,0.9549115955037419,0.9282872434975711,0.8164981238214323,0.5321821926126269,0.48305143645612336,0.5262060846967868
wildapple_00001,wildapple_00001,1,0.08901223946413696,-0.03210212890413889,-0.10798329123380529,0.18544705054073604,-19.275801751607762,11.60334438272342,-9.62185609109173,10.37017401234231,0.08835423319780994,0.11756422940876322,0.08992842147274636,0.09458467527908622,2.3846091077832834,-6.6520779155341705,0.2709686554864345,-3.5522425813707508,0.005602708318329581,0.004117170774359721,0.0031964708758654595,0.00913531311168125,-0.5603328053652334,1.7264207287670028,-0.11494529013324874,0.9013625248038549,-0.002261945546738097,-0.0023117147717093382,-0.0018070786038996843,-0.002738963524099148,0.038287704774430956,-0.1301333649747986,0.010095954375502418,-0.06595847623946978,0.8246771993319183,0.9400264200868393,0.9284081599187874,0.7510262516698955,0.7130322912073634,0.6886797490961823,0.050371407526721645,0.595600919887023
wildapple_00002,wildapple_00002,1,0.1770257755538185,-0.019874927082752503,-0.10136889935367621,0.29540975817074683,-18.490583115195598,5.61607339066698,-11.556365260111987,7.452456099880859,0.31085528151972636,0.3899445190430415,0.29602960576475784,0.2923128247832652,1.4344898962824104,-1.7437058152473581,0.3467321643649569,-1.628008831967998,-0.07813609539359553,-0.09489107209694218,-0.07485015647456292,-0.06349964540930196,-0.3870345325133536,0.4821713316963429,-0.10679359729295819,0.4527254689933562,0.005317709307307634,0.006762029215170595,0.005450451263674994,0.003856165698331221,0.028651417308852692,-0.03868625166753201,0.007317791873846415,-0.03652906844878234,0.7249365351707266,0.8161519027995167,0.7343385764626718,0.7770658187550925,0.32251383859792815,0.40658892074530806,0.12818037365525825,0.40032571078308965
wildapple_00003,wildapple_00003,1,0.10705026421385673,0.01736315043876956,-0.06915793706586341,0.14206717102042513,-24.810150919240154,12.501829015748775,-12.752383801170984,10.952908486052396,0.06084492013851161,-0.009658765374068347,-0.04407914887581552,0.12255510338529303,0.1157438879044482,0.8027141754855143,-1.1983006806395697,0.16356981200290016,-0.024455690695352163,-0.009445046230484826,0.0052144953378590875,-0.04794457559079288,-0.15436046071255427,-0.20946297548655451,0.1830241724041154,-0.036254402478975586,0.0022194479358975516,0.001394367135770911,-9.952417022480164e-05,0.004400946452547129,0.017406438028189888,0.019733279019978057,-0.0050890126086059004,0.0037748725504014764,0.8489001753977568,0.9803585871895018,0.9751426744079894,0.7661484828851377,0.07513680123083111,0.06142523933968602,0.14621788392795254,0.06487333876725598
wildapple_00004,wildapple_00004,1,0.10705026421385673,0.01736315043876956,-0.06915793706586341,0.14206717102042513,-24.810150919240154,12.501829015748775,-12.752383801170984,10.952908486052396,0.06084492013851161,-0.009658765374068347,-0.04407914887581552,0.12255510338529303,0.1157438879044482,0.8027141754855143,-1.1983006806395697,0.16356981200290016,-0.024455690695352163,-0.009445046230484826,0.0052144953378590875,-0.04794457559079288,-0.15436046071255427,-0.20946297548655451,0.1830241724041154,-0.036254402478975586,0.0022194479358975516,0.001394367135770911,-9.952417022480164e-05,0.004400946452547129,0.017406438028189888,0.019733279019978057,-0.0050890126086059004,0.0037748725504014764,0.8489001753977568,0.9803585871895018,0.9751426744079894,0.7661484828851377,0.07513680123083111,0.06142523933968602,0.14621788392795254,0.06487333876725598
wildapple_00005,wildapple_00005,1,0.10238981003862106,0.007524007396311426,-0.03326800416195501,0.133126011946135,-16.62800899359649,3.978283916247832,-10.824520338292157,5.982170138955581,0.013503025263471418,-0.16398334720513216,-0.12272114902562278,0.017690098612869916,1.403951368714615,-0.2784232027956049,0.789490579065009,-0.3349500367051758,0.016892410371851418,0.06067311956764238,0.047116534689775266,0.012781504201628819,-0.5329077638687231,0.08051242188601256,-0.3020958045095284,0.09550250400949044,-0.002495270515403308,-0.005418760282409254,-0.004415647288030236,-0.0018403244860194306,0.05097249294252049,-0.0078113320625848226,0.028669101618303088,-0.009399150963369714,0.3068244008107561,0.6182950431266943,0.4717720671259841,0.2679625365485092,0.2840598122115586,0.09422034287531245,0.17990437919927404,0.1110258570037238
wildapple_00006,wildapple_00006,1,0.09525468764035233,-0.03161769507712885,-0.0784760860613349,0.13354949651535972,-21.14129434596217,9.128657552967345,-11.1211705632261,9.474531433847524,-0.006748240960378785,-0.0024350849491050633,-0.0029530802471331684,-0.026653952603048814,-1.7740049334546004,2.8606852811984678,-1.2931064708573798,1.5842494402055136,-0.0031223388610075904,-0.006819066632237795,-0.00044439855980843435,0.0004636473526363397,0.5805210955417669,-1.301094212275458,0.2721357226406084,-0.7298582824856014,0.00044074164610255267,0.00116684149020428,0.00017922251850828615,0.00030127619789620697,-0.02280629948430991,0.12153410668580107,0.006033597504147608,0.06898825974021933,0.6732074501121345,0.3017166236656874,0.04365128695814602,0.7472347491205138,0.9234136960548406,0.6287350862190584,0.8841495561440459,0.6585250720952629
wildapple_00007,wildapple_00007,1,0.07477972738643411,0.03357920437349217,-0.025136891200390588,0.1207448550960934,-14.431092987075889,3.5610105822265608,-8.849383327352102,5.473203222007991,0.09317790427604704,0.058274726293689585,0.045813263098126535,0.12083722838747572,-0.39180422165166723,-0.03960017952172827,-0.27426574312757257,-0.03615697514519854,-0.013426185593596774,-0.008772026380496447,-0.009378679297611768,-0.015000608870638605,0.058269703186247,0.014620580301336356,-0.035977315135807014,0.010364380041533743,0.0004980814685296267,0.0007344052815940733,0.0008807320774710018,0.0006524944358100777,-0.0048303070909627354,-0.0012008688847335912,0.0070188676097858544,-0.0008310149586422514,0.41754280175024483,0.3898552897675237,0.3453443176990306,0.44906389050505935,0.24495959692419622,0.001209354282653452,0.2819428308607721,0.00021598409373202454
wildapple_00008,wildapple_00008,1,0.07160774565903137,0.03164934345907329,-0.026052238437290588,0.113558577288958,-14.288126460573498,3.1806407371801018,-9.046269185733639,5.031318522102019,0.07590740967272665,0.05741949633236431,0.04434176384737426,0.0905802216573014,-0.4203640174549881,0.15000760719642364,-0.04974022939306616,0.1738847768147839,-0.009042923923311397,-0.007046358777349633,-0.00711150329045488,-0.008711473103128916,0.0998504450352995,-0.008572871274419793,-0.04843305907939388,-0.013761779035894038,0.00017639358632260855,0.00045942896284747884,0.0005670750917598654,0.0002241777632423168,-0.009756998842861691,-0.0005858229022307987,0.005528146025633671,-0.0004014429258840857,0.346596763308885,0.32406476395274275,0.2933371768185733,0.40900620807283816,0.19895692789128183,0.05487758709333357,0.14823298134809793,0.03861185576741699
wildapple_00009,wildapple_00009,1,-0.016846864947966195,0.43391476181291466,0.40384681942823347,0.007866651473921356,-20.554513638320326,10.838071558741682,-10.006925354742712,10.288259636478534,0.1745605220280191,-0.5189405261008847,-0.5340075960607599,0.2011354181806234,1.2977435658147047,-0.08837399568296239,-0.17121632312626528,-0.5990366546419149,-0.026847744934276826,0.16584655787276287,0.15958477661014922,-0.031151165613955322,-0.1638919860861421,-0.8471748315576656,-0.10868916915013947,-0.19126899727161878,0.0004729574342569538,-0.014728544376021844,-0.013707348909089647,0.0006100477018792786,-0.002518779031282178,0.1373218568187613,0.022222271340569477,0.04491669149556072,0.9255584046678808,0.7568347786661878,0.7724962742261668,0.9197289667065531,0.20794567947845166,0.6390562869508627,0.1763447117822038,0.6063437918135435
