feature,importance
NDVI_mean,0.023825422717695395
elevation,0.023107545383223314
GCVI_M09,0.018282179430880948
slope,0.016395685285120323
swir1_M07,0.016043408987311044
GCVI_M06,0.01510271338677645
VH_db_std,0.014767459265082522
GCVI_M07,0.014675473266914593
GCVI_M08,0.014327274087175686
swir1_M08,0.014299305640105285
NDVI_max,0.014112038910406792
EVI_mean,0.014064089011148957
NDVI_M06,0.013842266007970686
NDVI_M07,0.012312160779503515
dist_to_valley_proxy_m,0.011879546231998148
NDVI_M08,0.011585928875950367
BSI_M04,0.011370988950259656
swir2_M04,0.011366623259202924
swir1_M09,0.010852555850575615
EVI_M06,0.010663107648245643
swir1_M06,0.010421708995863749
swir2_M10,0.010288264604607428
EVI_M09,0.010238473386001493
NDBI_M04,0.010206596052702724
LSWI_min,0.01009976127817679
NDVI_M04,0.009970368976274386
swir2_M08,0.009521344128121502
NDVI_min,0.00932632142840332
swir2_M09,0.009150620133281308
LSWI_autumn_decline,0.009114467609777212
LSWI_M04,0.009097211509781647
EVI_M04,0.009034896944774258
EVI_M07,0.008978190326608765
swir2_M06,0.008858672278922723
NDMI_M04,0.008806932695345672
EVI_M08,0.008545871541621244
swir2_M07,0.008499100314395339
GCVI_M04,0.008467579948898315
EVI_min,0.008368166850437214
NDVI_M05,0.008364993210106825
swir1_M04,0.008208749824283166
LSWI_std,0.007804751840451408
swir1_M10,0.007728910854179272
NDVI_M09,0.007699622708068208
EVI_M03,0.007594665209775355
NDVI_M10,0.007144794931093186
NDMI_autumn_decline,0.0068193431480620065
NDMI_min,0.0066352415466012175
VH_db_amp,0.006335331620698748
EVI_M05,0.00608132241543838
BSI_M08,0.006029418673940818
VH_db_M04,0.0060207928162020145
NDBI_M07,0.005825172483586766
GCVI_M05,0.005621299500657775
BSI_M07,0.005467647157560402
NDVI_spring_rise,0.005432134850185875
GCVI_M10,0.005102379553028225
BSI_M09,0.004974087951023888
blue_M08,0.004878611351591915
NDVI_amp,0.00485517336493757
BSI_M10,0.004562674435472274
LSWI_spring_rise,0.004507795550913741
EVI_max,0.00450653881090294
red_M09,0.004447567116346093
VV_VH_ratio_spring_rise,0.004427429296719027
NDMI_M07,0.0043976767487421825
LSWI_mean,0.004321920583159973
blue_M04,0.00421749496267085
NDVI_M03,0.004148856091192094
LSWI_M05,0.004141635089310064
blue_M05,0.004062490170092253
EVI_amp,0.004057443460983409
swir1_M05,0.0040300367755642325
NDMI_spring_rise,0.0038862016547937554
NDBI_M09,0.0038282977066459375
red_M05,0.0038230260241986047
NDBI_M08,0.0037848044960403088
NDMI_M08,0.0037576869568607158
nir_M04,0.0037520440648667504
VH_db_M05,0.003746190253291663
green_M08,0.00373468713307554
green_M05,0.0037325184083894718
EVI_std,0.0037202302769740936
NDVI_std,0.0037162523828272124
VV_minus_VH_db_spring_rise,0.0036891330586978173
VH_db_mean,0.0036655481340733573
LSWI_M07,0.003626273327382361
green_M09,0.0036046528522054784
NDMI_M10,0.0034907503278414627
VH_db_spring_rise,0.0034635953198352966
blue_M06,0.0034352491728570455
VV_minus_VH_db_std,0.003368151114115454
EVI_spring_rise,0.003324151405378066
LSWI_M06,0.003305895821601292
swir2_M05,0.0033056967143143706
red_M08,0.003283800433623886
green_M04,0.003264034795097982
GCVI_M03,0.003246551373018767
BSI_M05,0.003225917937487493
red_M06,0.0032072002183378195
blue_M09,0.003192947033343422
nir_M09,0.003181873882987023
nir_M08,0.003173800512471605
nir_M06,0.0031707143939982956
VH_db_M09,0.0031635433262390614
NDMI_std,0.003157481078210428
VV_db_mean,0.003143937374195721
red_M04,0.0031229181864062105
NDBI_M06,0.003118451712240231
nir_M05,0.003114955219093455
red_M10,0.0031016001489084857
VH_db_min,0.003098024602110707
NDMI_M06,0.0030799505846000946
VV_minus_VH_db_M03,0.003066114535822088
VV_VH_ratio_M03,0.0030544378912275975
VH_db_M10,0.00295604326288388
green_M07,0.002955519454934835
green_M06,0.002953951715312374
VV_VH_ratio_mean,0.0029476879662501156
NDBI_M05,0.002934668364488874
NDMI_mean,0.0029151045090880768
VV_minus_VH_db_M04,0.002906309430369126
blue_M07,0.002899519270238249
EVI_M10,0.002852617274711605
VV_db_M09,0.002825112761157208
VH_db_autumn_decline,0.0027873856505876444
red_M07,0.00278098403827351
VV_db_M06,0.002721063433754151
NDVI_autumn_decline,0.002713607863574932
swir2_M03,0.0027021116295527525
VV_db_autumn_decline,0.002623537021621945
blue_M03,0.002598939661896842
BSI_M06,0.0025740036204156564
VH_db_M08,0.0025654848227095557
VV_VH_ratio_std,0.002562427031624518
LSWI_M08,0.0025526585740085228
VV_db_M05,0.002523633640619586
nir_M10,0.0025175647099304798
VV_db_std,0.0025126784710349684
VV_minus_VH_db_amp,0.0024660431934774
LSWI_amp,0.002464146325802392
VV_db_min,0.0024623158337915355
NDMI_M09,0.0024371223807547688
green_M10,0.0024309564470440014
VV_VH_ratio_max,0.0023935220071745616
VV_db_amp,0.0023909841868669235
VV_VH_ratio_M04,0.0023899661258908827
LSWI_M03,0.002384560117513611
VH_db_M03,0.0023834104972291206
VV_db_M04,0.002339750330537104
VV_minus_VH_db_max,0.002290522383642819
NDMI_amp,0.002274974471324966
VV_db_M08,0.002254698230451446
VV_VH_ratio_amp,0.002247574527283622
VV_db_max,0.002230199922423941
swir1_M03,0.002199436032062817
NDMI_max,0.0021959954718138433
LSWI_max,0.0021842421513814173
green_M03,0.002175602621538657
BSI_M03,0.0021407752736299973
NDBI_M03,0.0021377584467085074
VH_db_max,0.002115936195572685
blue_M10,0.0021144891147761883
LSWI_M09,0.002095242153635805
nir_M07,0.0020929454652446784
NDMI_M03,0.002067045712176655
VH_db_M07,0.0020657960815028747
VV_minus_VH_db_M05,0.0020388906491867554
VV_db_M07,0.0020319339371165745
aspect,0.002031426465933975
NDMI_M05,0.002031122961593344
VV_VH_ratio_M05,0.0020083791706217557
LSWI_M10,0.001998056919196081
VH_db_M06,0.0019969316678842496
NDVI_tex_contrast,0.0019909213610700685
VV_db_M10,0.0019480734133964974
VV_minus_VH_db_autumn_decline,0.0019290263087644798
NDVI_tex_diss,0.001917550267960534
VV_VH_ratio_autumn_decline,0.001903816410213782
EVI_autumn_decline,0.0018760237091727577
NDBI_M10,0.0018734859232266492
nir_M03,0.0018723111246415171
red_M03,0.0018683318143740294
VV_VH_ratio_M08,0.0018319970597060332
NDVI_tex_asm,0.00181600363446209
VV_db_M03,0.0017674318436430038
VV_minus_VH_db_M07,0.0017637693828407325
VV_minus_VH_db_min,0.0017404453578097306
NDVI_tex_idm,0.0017323529653830933
VV_db_spring_rise,0.0017318664034928952
VV_VH_ratio_min,0.0016353545909137263
VV_minus_VH_db_M10,0.0016109702357754122
NDVI_tex_ent,0.0015973228963959453
VV_minus_VH_db_M06,0.0015968648568091546
VV_minus_VH_db_M08,0.0015945707640541134
NDVI_tex_var,0.0015701620518322546
VV_VH_ratio_M06,0.0015403172956228103
VV_VH_ratio_M07,0.001446783524218099
LSWI_peak_month,0.0013614869570562865
VV_minus_VH_db_mean,0.0013436975092931095
VV_VH_ratio_M10,0.0013333010796693888
VV_minus_VH_db_M09,0.0011920848874871022
VV_VH_ratio_M09,0.0011593304010075168
NDMI_peak_month,0.0009400318803424854
VH_db_peak_month,0.0008260826105493685
NDVI_peak_month,0.0007864190605196266
VV_db_peak_month,0.0006780028147398318
VV_VH_ratio_peak_month,0.0005577216261180455
EVI_peak_month,0.0005266449979064609
VV_minus_VH_db_peak_month,0.0004404573989345619
