,precision,recall,f1-score,support
1,0.8152173913043478,0.9,0.8555133079847909,250.0
2,0.6888888888888889,0.7560975609756098,0.7209302325581395,41.0
3,0.9782608695652174,0.7627118644067796,0.8571428571428571,59.0
4,0.9565217391304348,0.4888888888888889,0.6470588235294118,45.0
5,0.6363636363636364,0.717948717948718,0.6746987951807228,39.0
6,0.9024390243902439,0.9024390243902439,0.9024390243902439,41.0
accuracy,0.8168421052631579,0.8168421052631579,0.8168421052631579,0.8168421052631579
macro avg,0.8296152582737949,0.75468100943504,0.776297173464361,475.0
weighted avg,0.8307954603240644,0.8168421052631579,0.813555358259751,475.0
