,precision,recall,f1-score,support
1,0.8191881918819188,0.888,0.8522072936660269,250.0
2,0.6888888888888889,0.7560975609756098,0.7209302325581395,41.0
3,0.92,0.7796610169491526,0.8440366972477065,59.0
4,1.0,0.4888888888888889,0.6567164179104478,45.0
5,0.6521739130434783,0.7692307692307693,0.7058823529411765,39.0
6,0.9024390243902439,0.9024390243902439,0.9024390243902439,41.0
accuracy,0.8168421052631579,0.8168421052631579,0.8168421052631579,0.8168421052631579
macro avg,0.8304483363674217,0.7640528767391107,0.7803686697856236,475.0
weighted avg,0.831065842154989,0.8168421052631579,0.8136626919151183,475.0
