,Wild Apple Forest,Other Forest,Cropland,Grassland/Shrub,Urban/Bare,Water/Snow/Ice
Wild Apple Forest,220,12,7,2,9,0
Other Forest,7,33,1,0,0,0
Cropland,9,1,48,1,0,0
Grassland/Shrub,19,0,2,23,1,0
Urban/Bare,5,0,0,0,31,3
Water/Snow/Ice,0,0,0,0,4,37
