,Wild Apple Forest,Other Forest,Cropland,Grassland/Shrub,Urban/Bare,Water/Snow/Ice
Wild Apple Forest,225,14,0,0,11,0
Other Forest,10,31,0,0,0,0
Cropland,14,0,45,0,0,0
Grassland/Shrub,21,0,1,22,1,0
Urban/Bare,6,0,0,1,28,4
Water/Snow/Ice,0,0,0,0,4,37
