,precision,recall,f1-score,support
1,0.8461538461538461,0.88,0.8627450980392157,250.0
2,0.717391304347826,0.8048780487804879,0.7586206896551724,41.0
3,0.8275862068965517,0.8135593220338984,0.8205128205128205,59.0
4,0.8846153846153846,0.5111111111111111,0.647887323943662,45.0
5,0.6888888888888889,0.7948717948717948,0.7380952380952381,39.0
6,0.925,0.9024390243902439,0.9135802469135802,41.0
accuracy,0.8252631578947368,0.8252631578947368,0.8252631578947368,0.8252631578947368
macro avg,0.8149392718170829,0.7844765501979226,0.7902402361932815,475.0
weighted avg,0.8302704214694273,0.8252631578947368,0.822310343542228,475.0
