feature,jm_1_2,jm_1_3,jm_1_4,jm_mean,jm_min
dist_to_valley_proxy_m,1.9622624990561865,1.9156044734178528,1.9587625000085058,1.9455431574941817,1.9156044734178528
elevation,0.8386459690476629,0.2485991364283453,0.6525097042922288,0.5799182699227456,0.2485991364283453
slope,0.22053450102301242,1.221654994353811,0.013074204750435747,0.48508790004241975,0.013074204750435747
NDBI_M04,0.814086966789795,0.11711725737626,0.4657092904073814,0.46563783819114546,0.11711725737626
blue_M04,0.2622914874381981,0.24957299704689473,0.8706924767833379,0.46085232042281027,0.24957299704689473
NDMI_M04,0.7757885287364532,0.12533379013587642,0.4490237496426366,0.4500486895049887,0.12533379013587642
swir2_M04,0.9114307280718166,0.33427065626238917,0.09961615433863313,0.448439179557613,0.09961615433863313
BSI_M04,0.9509320669283239,0.07355188913023247,0.30705385890382586,0.44384593832079405,0.07355188913023247
VV_VH_ratio_M10,0.8415252764259391,0.4272271535677521,0.04515044482747532,0.4379676249403888,0.04515044482747532
LSWI_M04,0.7944144073698365,0.1890185414381369,0.32719526653144704,0.4368760717798068,0.1890185414381369
swir1_M04,0.9348928255605968,0.1653116484577919,0.16396574627759875,0.4213900734319958,0.16396574627759875
green_M04,0.2237769065028543,0.18197384914652526,0.8511138032596157,0.4189548529696651,0.18197384914652526
green_M05,0.18110820456029164,0.36897291450094305,0.6688711774558957,0.4063174321723768,0.18110820456029164
VV_VH_ratio_autumn_decline,0.7911668907045619,0.32934810431869144,0.05127114344327688,0.39059537948884343,0.05127114344327688
NDBI_M10,0.7168878985360274,0.15092382044914965,0.29067197964323066,0.3861612328761359,0.15092382044914965
blue_M05,0.11962503529603974,0.34544481148149186,0.6835196637666157,0.38286317018138244,0.11962503529603974
blue_M10,0.08105683595757252,0.2899534759187534,0.7614212281207666,0.37747717999903085,0.08105683595757252
red_M04,0.15790673629662932,0.15777793753433644,0.8011506861277717,0.37227845331957915,0.15777793753433644
NDMI_M10,0.6645369619115957,0.14789214270845963,0.27271658506218,0.36171522989407845,0.14789214270845963
BSI_M10,0.7529266633446337,0.19423805027452756,0.0803093700374724,0.34249136121887785,0.0803093700374724
NDVI_tex_asm,0.6211988169808091,0.37591786502257163,0.021452459578506833,0.33952304719396253,0.021452459578506833
swir1_M08,0.7560193828522548,0.16219721691553013,0.08122710925714838,0.3331479030083111,0.08122710925714838
VV_VH_ratio_std,0.8719104862165004,0.07491078801357065,0.049348187959507905,0.3320564873965263,0.049348187959507905
NDMI_autumn_decline,0.4487439649428506,0.25276262572218067,0.2788781616258418,0.32679491743029104,0.25276262572218067
LSWI_min,0.7941692095571253,0.16632992300526928,0.01788339452531318,0.32612750902923593,0.01788339452531318
swir1_M10,0.8705293677504311,0.07991619921400583,0.0279038952746129,0.32611648741301663,0.0279038952746129
VV_VH_ratio_M03,0.788593714086572,0.14745245576977561,0.02893663532324431,0.321660935059864,0.02893663532324431
swir2_M10,0.8265958846388375,0.10263122262199875,0.020793390257509703,0.316673499172782,0.020793390257509703
green_M10,0.05688220600334715,0.1390439830888628,0.7502222320667353,0.3153828070529818,0.05688220600334715
VV_VH_ratio_amp,0.8272347023413655,0.06245849120067826,0.035790943811430775,0.30849471245115817,0.035790943811430775
VV_VH_ratio_a0,0.7810537598935405,0.12052050563367334,0.02309874218733121,0.3082243359048484,0.02309874218733121
swir1_M07,0.6210507394185198,0.19716163991044855,0.1044232636644804,0.3075452143311496,0.1044232636644804
red_M05,0.04495629463823292,0.415759425246512,0.46035916211221584,0.3070249606656536,0.04495629463823292
NDVI_a2,0.2473378988744641,0.5270866203275066,0.13733014232212115,0.30391822050803063,0.13733014232212115
VV_VH_ratio_max,0.8020551584511224,0.06890620333939013,0.034346705842044134,0.3017693558775189,0.034346705842044134
VV_VH_ratio_mean,0.7350642092903845,0.1277660659733726,0.036790680898871164,0.2998736520542094,0.036790680898871164
swir1_M09,0.7740580234905479,0.05388528445226526,0.0670272120724491,0.29832350667175406,0.05388528445226526
VV_VH_ratio_spring_rise,0.7372986081208726,0.1360842166771825,0.021248137378336196,0.2982103207254638,0.021248137378336196
NDVI_a3,0.20681088601631648,0.5443412085389812,0.14282589271294732,0.2979926624227483,0.14282589271294732
EVI_a2,0.28130248896000265,0.4888387354043744,0.1237752532184817,0.29797215919428627,0.1237752532184817
swir2_M08,0.6810801789402117,0.11339963342424308,0.08458798740577667,0.29302259992341045,0.08458798740577667
swir2_M05,0.42505922253825257,0.37214413073226904,0.07940693887527894,0.29220343071526683,0.07940693887527894
EVI_a3,0.1799501266668817,0.5307480821983015,0.15136063768118335,0.28735294884878887,0.15136063768118335
swir1_M05,0.5912723808759255,0.1482547452812919,0.11300245878886916,0.28417652831536216,0.11300245878886916
nir_M04,0.14147291858455424,0.01510195390750746,0.6905707464762643,0.282381872989442,0.01510195390750746
EVI_M05,0.26072040052537515,0.3732970458849856,0.20311195771819124,0.2790431347095173,0.20311195771819124
GCVI_M03,0.5502739858406971,0.13005448050546553,0.15090427325781497,0.27707757986799253,0.13005448050546553
LSWI_M10,0.5977816730229497,0.11673114739282409,0.11411212491751899,0.2762083151110976,0.11411212491751899
swir2_M09,0.7226481955387989,0.04612625376781798,0.05982695103911029,0.27620046678190907,0.04612625376781798
EVI_a1,0.3671715716373163,0.36287761798537566,0.0841581844284196,0.27140245801703716,0.0841581844284196
NDVI_r2,0.5623328528317018,0.009761349922760454,0.2364202827882833,0.2695048285142485,0.009761349922760454
red_M10,0.04689430884031598,0.066771763614494,0.6921468821106262,0.26860431818847874,0.04689430884031598
VH_db_r2,0.18478353275528692,0.4859508841860425,0.13062788090241617,0.2671207659479152,0.13062788090241617
NDVI_a1,0.24163082844705142,0.4194960795024645,0.13434780367149357,0.26515823720700316,0.13434780367149357
NDMI_r2,0.16337811314132655,0.3441147891119869,0.27070422574704045,0.25939904266678465,0.16337811314132655
swir1_M06,0.6056961679579391,0.08279333907363684,0.08364556989635119,0.2573783589759757,0.08279333907363684
NDMI_min,0.7276398439882537,0.02715388279449238,0.013712370744201285,0.2561686991756491,0.013712370744201285
LSWI_autumn_decline,0.34687294960554227,0.22240568780925019,0.16511808267541928,0.24479890669673723,0.16511808267541928
VV_VH_ratio_M04,0.64299686483973,0.05951767167995947,0.025953905571264313,0.2428228140303179,0.025953905571264313
swir2_M07,0.5429172972527636,0.08318446181291805,0.09372523364060426,0.2399423309020953,0.08318446181291805
NDBI_M09,0.33799246322059107,0.22154355053985175,0.1570760696488227,0.23887069446975517,0.1570760696488227
VV_db_a3,0.270388521698699,0.3179743874846144,0.12603940658680157,0.23813410525670498,0.12603940658680157
NDVI_M05,0.08645143706712521,0.42177318151591536,0.20278242499021149,0.23700234785775068,0.08645143706712521
red_M08,0.6225579932882919,0.011849244563354455,0.07635379185624735,0.23692034323596456,0.011849244563354455
BSI_M09,0.3268941417574396,0.18007913932625907,0.198444225844296,0.2351391689759982,0.18007913932625907
VH_db_M04,0.024833194251857593,0.5291506030336217,0.1414977577213432,0.23182718500227417,0.024833194251857593
VV_minus_VH_db_r2,7.498146490347857e-05,0.5680163956627604,0.11973744962949673,0.2292762755857202,7.498146490347857e-05
VH_db_a3,0.09525061660329714,0.5078368367894988,0.08446678747153502,0.22918474695477697,0.08446678747153502
VV_VH_ratio_r2,0.0018626808534720762,0.5454840427197076,0.13895990936672042,0.22876887764663337,0.0018626808534720762
VH_db_std,0.13624079096117003,0.5343192136423962,0.013824240722304815,0.22812808177529034,0.013824240722304815
EVI_a0,0.44783533689600996,0.0360731986574534,0.1977230887794541,0.22721054144430583,0.0360731986574534
red_M07,0.5934442618939582,0.01802358268332771,0.06599463616722034,0.2258208269148354,0.01802358268332771
VH_db_amp,0.17260987808797568,0.46977795842278924,0.019027947451109917,0.22047192798729162,0.019027947451109917
VV_VH_ratio_M09,0.545601943969674,0.06955219099621668,0.042488801352774,0.21921431210622155,0.042488801352774
NDMI_M09,0.26745364159479523,0.21450778981725116,0.17198656059571782,0.21798266400258806,0.17198656059571782
EVI_M04,0.11742890792577687,0.12880052098696226,0.39724914106609965,0.21449285665961293,0.11742890792577687
VV_minus_VH_db_a0,0.30700903195922713,0.29306741763301547,0.041079242192516796,0.21371856392825314,0.041079242192516796
VV_minus_VH_db_std,0.2930266020914094,0.3406536146630197,0.006884077330881366,0.21352143136177015,0.006884077330881366
GCVI_M05,0.12634910942302624,0.23688583975843036,0.2767910743979911,0.2133420078598159,0.12634910942302624
EVI_M03,0.41041380601557487,0.015074808937457052,0.2119436910943444,0.21247743534912544,0.015074808937457052
blue_M08,0.511046807275366,0.013032365709901184,0.11176458408214462,0.2119479190224706,0.013032365709901184
NDVI_mean,0.2436887650388837,0.15897954949893722,0.23268486043310532,0.2117843916569754,0.15897954949893722
